Tissue,Treatment,Sample,Gene,Rep1,Rep2
Liver,Mix Dose 2,7,PRAAK1,26.89,26.49
Liver,Mix Dose 2,8,PRAAK1,25.67,26.5
Liver,Mix Dose 3,1,PRAAK1,25.11,25.78
Liver,Mix Dose 3,2,PRAAK1,22.3,21.75
Liver,Mix Dose 3,3,PRAAK1,24.02,23.12
Liver,Mix Dose 3,4,PRAAK1,24.83,24.83
Liver,Mix Dose 3,5,PRAAK1,25.38,25.01
Liver,Mix Dose 3,6,PRAAK1,27.68,27.2
Liver,Mix Dose 3,7,PRAAK1,26.11,26.62
Liver,Mix Dose 3,8,PRAAK1,23.72,22.78
Liver,No Injection,1,PRAAK2,28.72,29.23
Liver,No Injection,2,PRAAK2,27.1,27.32
Liver,No Injection,3,PRAAK2,26.29,26.75
Liver,No Injection,4,PRAAK2,25.61,25.39
Liver,No Injection,5,PRAAK2,25.55,25.82
Liver,No Injection,6,PRAAK2,25.51,25.53
Liver,No Injection,7,PRAAK2,23.95,24.98
Liver,No Injection,8,PRAAK2,25.39,25.47
Liver,Water,1,PRAAK2,27.94,27.98
Liver,Water,2,PRAAK2,27.65,27.45
Liver,Water,3,PRAAK2,27.52,27.3
Liver,Water,4,PRAAK2,26.17,26.23
Liver,Water,5,PRAAK2,26.87,27.05
Liver,Water,6,PRAAK2,27.6,27.37
Liver,Water,7,PRAAK2,27.4,27.12
Liver,Mix Dose 1,1,PRAAK2,26.83,26.94
Liver,Mix Dose 1,2,PRAAK2,26.22,26.07
Liver,Mix Dose 1,3,PRAAK2,26.26,26.69
Liver,Mix Dose 1,4,PRAAK2,28.03,28.06
Liver,Mix Dose 1,5,PRAAK2,27.3,27.9
Liver,Mix Dose 1,6,PRAAK2,27.78,27.77
Liver,Mix Dose 1,7,PRAAK2,28.54,28.4
Liver,Mix Dose 1,8,PRAAK2,26.27,26.19
Liver,Mix Dose 2,1,PRAAK2,26.73,26.82
Liver,Mix Dose 2,2,PRAAK2,26.04,25.93
Liver,Mix Dose 2,3,PRAAK2,28.41,27.8
Liver,Mix Dose 2,4,PRAAK2,25,24.93
Liver,Mix Dose 2,5,PRAAK2,27.06,27.45
Liver,Mix Dose 2,6,PRAAK2,26.7,26.47
Liver,Mix Dose 2,7,PRAAK2,26.54,26.57
Liver,Mix Dose 2,8,PRAAK2,26.44,26.58
Liver,Mix Dose 3,1,PRAAK2,25.48,25.51
Liver,Mix Dose 3,2,PRAAK2,24.51,24.74
Liver,Mix Dose 3,3,PRAAK2,25.74,26.03
Liver,Mix Dose 3,4,PRAAK2,25.8,25.67
Liver,Mix Dose 3,5,PRAAK2,26.13,26.01
Liver,Mix Dose 3,6,PRAAK2,27.78,28.03
Liver,Mix Dose 3,7,PRAAK2,29.2,28.77
Liver,Mix Dose 3,8,PRAAK2,25.92,25.75
Pectoral,No Injection,1,MyoG,28.05,28.09
Pectoral,No Injection,2,MyoG,30.05,29.91
Pectoral,No Injection,3,MyoG,28.81,28.58
Pectoral,No Injection,4,MyoG,28.28,27.31
Pectoral,No Injection,5,MyoG,30.39,30.49
Pectoral,No Injection,6,MyoG,29.05,29.52
Pectoral,No Injection,7,MyoG,29.17,29.36
Pectoral,No Injection,8,MyoG,28.99,29.42
Pectoral,Water,1,MyoG,29.76,30.12
Pectoral,Water,2,MyoG,29.00,28.43
Pectoral,Water,3,MyoG,29.55,30.61
Pectoral,Water,4,MyoG,33.14,32.63
Pectoral,Water,5,MyoG,28.43,28.39
Pectoral,Water,6,MyoG,29.49,29.53
Pectoral,Water,7,MyoG,29.70,30.36
Pectoral,Mix Dose 1,1,MyoG,27.17,27.65
Pectoral,Mix Dose 1,2,MyoG,27.61,26.96
Pectoral,Mix Dose 1,3,MyoG,28.14,28.76
Pectoral,Mix Dose 1,4,MyoG,27.18,27.34
Pectoral,Mix Dose 1,5,MyoG,27.92,28.17
Pectoral,Mix Dose 1,6,MyoG,28.89,29.15
Pectoral,Mix Dose 1,7,MyoG,28.01,28.19
Pectoral,Mix Dose 1,8,MyoG,27.65,28.07
Pectoral,Mix Dose 2,1,MyoG,33.10,33.10
Pectoral,Mix Dose 2,2,MyoG,27.81,27.79
Pectoral,Mix Dose 2,3,MyoG,27.00,27.05
Pectoral,Mix Dose 2,4,MyoG,26.91,26.68
Pectoral,Mix Dose 2,5,MyoG,26.22,26.06
Pectoral,Mix Dose 2,6,MyoG,26.71,26.59
Pectoral,Mix Dose 2,7,MyoG,28.34,28.13
Pectoral,Mix Dose 2,8,MyoG,25.84,26.46
Pectoral,Mix Dose 3,1,MyoG,27.40,27.10
Pectoral,Mix Dose 3,2,MyoG,26.85,26.80
Pectoral,Mix Dose 3,3,MyoG,26.56,26.44
Pectoral,Mix Dose 3,4,MyoG,26.30,26.32
Pectoral,Mix Dose 3,5,MyoG,26.45,26.34
Pectoral,Mix Dose 3,6,MyoG,26.90,26.68
Pectoral,Mix Dose 3,7,MyoG,26.19,26.07
Pectoral,Mix Dose 3,8,MyoG,26.19,26.18
