bird_num,no_inj,water,saline,mix_1,mix_2,mix_3
1,2.2,2.1,,2.1,2.1,2.2
2,2.2,2.3,,2.3,2.2,2.1
3,2.4,2.1,,2.1,2.2,2.2
4,2.1,2.1,,2.1,2.1,2.1
5,2.3,2,,2.3,2.2,2.1
6,2.1,2.1,,2.2,2.1,2.3
7,2.1,2.1,,2.1,2.1,2.2
8,2.3,,,2.2,2.2,2.2
9,2,,,2.2,2.1,2.4
10,2.1,,,2.1,2.2,2.1
11,2.1,,,2.1,2.1,2.2
12,2,,,2,2,2.2
13,2,,,2.2,2,2
14,2,,,2,2.1,2.2
15,2.1,,,2.3,2.3,2.4
16,2,,,2.1,2,2.5
