treatment,biological_rep,villis_height,villis_width1,villis_width2,villis_width3,crypt_depth,goblet_count
2,6,236.1,45.2,55.29,36.66,10.5,38
2,6,232.11,50.64,39.12,49.52,20.8,24
2,6,185.18,36.92,40.96,58.75,14.43,48
2,6,214.82,59.76,63.65,50.49,13.69,38
2,6,204.65,33.94,44.1,44.59,15.28,47
2,6,222.77,34.67,66.16,47.35,10.85,53
2,6,217.09,57.93,79.34,65.26,19.67,43
2,6,226.53,43.05,46.88,42.84,18.08,53
2,7,286.38,36.68,47.77,57.41,14.43,35
2,7,260.12,39.29,51.4,36.9,17.37,44
2,7,201.97,70.18,57.09,33.65,14.8,54
2,7,251.01,52.44,44.67,43.77,14.43,57
2,7,298.91,45.92,45.24,53.52,12.62,55
2,7,224.29,50.5,65.9,47.72,13.23,43
2,7,262.19,56.15,54.64,45.81,19.22,44
2,7,181.4,44.05,53.51,53.8,13.33,46
2,7,246.05,39.46,36.2,28.19,24.88,40
2,7,238.79,50.36,53.02,57.88,18.26,36
7,1,291.81,46.68,35.1,33.92,25.39,69
7,1,359.38,59.07,50.54,36.71,38.41,53
7,1,309.01,60.45,42.66,62.5,44.07,92
7,1,338.44,70.31,65.03,46.6,34.12,62
7,1,309.27,47.81,50.19,46.97,31.11,69
7,1,291.11,39.69,28.25,22.07,33,67
7,1,307.52,57.28,58.12,52.09,35.71,97
7,1,255.35,40.99,47.12,32.06,18.29,72
7,1,282.74,36.9,49.8,41.32,24.95,77
7,1,313.19,56.83,58.79,43.92,23.62,51
7,2,326.74,36.8,51.6,34.43,32.84,58
7,2,281.37,64.94,40.96,31.23,46.16,45
7,2,323.38,31.34,34.33,39.92,22.02,76
7,2,320.64,47.63,44.37,50.04,37.14,63
7,2,288.97,44.27,18.54,47.99,50.17,38
7,2,290.86,53.23,46.89,42.34,54.56,64
7,2,329.7,47.13,48.58,53.91,37.91,51
7,2,293.24,46.27,41.81,41.14,15.71,48
7,2,211.19,35.81,48.71,44.75,15.71,84
7,2,353.98,52.21,68.65,49.62,32.44,48
7,3,217.92,26.94,37.27,32.86,40.29,28
7,3,218.62,30.93,24.49,39.89,37.36,45
7,3,319.43,33.14,38.15,40.59,38.07,37
7,3,211.01,25.59,34.66,23.37,47.33,59
7,3,337.57,41.14,42.35,28.53,31.42,57
7,3,278.06,52.21,40.46,27.16,40.33,62
7,3,288.63,40.33,32.44,29.3,33.57,71
7,3,336.01,35.66,44.23,30.5,24.1,40
7,3,311.93,37.46,35.5,27.47,37.7,42
7,3,322.14,28.45,34.15,33.24,19.18,72
7,4,243.05,35.63,44.17,46.78,25.86,53
7,4,244.87,26.86,32.62,50.14,30.76,66
7,4,293.17,42.41,39.99,37.42,32.65,104
7,4,308.25,30.2,35.47,35.98,16.11,87
7,4,298.6,36.23,41.62,27.97,9.62,75
7,4,231.6,25.83,34.78,32.27,31.45,41
